                      Mag                                                   F  N clusters    N vorts        nvx        nvy        nvz  N strings  Max s str            <l string>                Correl
     692.9160869832996923     2476.7884977379994780        0.0000000000000000       2194         62         45         40         38          0          0        0.0000000000000000 25149.7635061290857266 26199.9376494557909609 26373.6993849120626692 23098.5954279129582574 23898.5877738595809205 25409.1097668523907487 28568.7358993561720126 26240.7481585233108490 24718.3208540398409241 23939.7753602004559070 25159.5340907582467480 23577.8524182679866499 23222.8648286042807740 22566.5509241678882972 26441.4314763197289722 25424.1294317718129605
     202.3538575486574587     2665.4614684413359100        0.0000000000000000        693         42         29         30         24          0          0        0.0000000000000000 27738.3523918327446154 26209.9343597888146178 26875.6758859805486281 26582.1697131168766646 26048.2533672360914352 27427.3400585443559976 28044.3482689253032731 28955.2890670428350859 28190.7383832164778141 27359.8827205905581650 27093.4010579631612927 28923.8706602775491774 27974.7944495687806921 29186.6277297806991555 27625.4992456490144832 29941.1761581316823140
    2650.4973180569700162     -342.5354987645565643        0.0000000000000000       1742         51         30         36         36          0          0        0.0000000000000000 28177.1822125050930481 28036.9224564310752612 27553.0422697050707939 28028.9983205830358202 27621.3657603307328827 28046.7775469948537648 27475.4989401487728173 28183.4978079329521279 26148.0520044586046424 28371.8146365039247030 27170.9396968608343741 26297.5816091610031435 29575.2446365749492543 30309.8601931761259038 27208.1115052631284925 28533.6174256162739766
   -2573.2261169956609592      318.0294062971961466        0.0000000000000000       1226         71         49         46         46          0          0        0.0000000000000000 26571.3169523697652039 27790.0599590066231031 29019.4964050690578006 26609.7717108731012559 27414.1573633004372823 24109.9640702604228863 23523.7820277161736158 25325.7161475444590906 24199.2144478499285469 24851.8668436729458335 26819.6146384761123045 24131.1294167357955303 26513.5273277859087102 27493.8227838399907341 27879.2217004672129406 27809.7097009123099269
     488.8141297325450410     2544.7601784799062443        0.0000000000000000       1434         40         16         32         30          0          0        0.0000000000000000 31886.3019502369133988 27247.3422368201463541 29170.9392418801435269 27354.9164531867645564 27936.1372897207293136 29946.8634579935896909 30415.2822807702432328 29530.7398012373923848 27349.4420875768701080 25996.3243544994329568 28650.5448651862752740 28697.6796702371648280 30090.1172538395694573 27710.8700434651982505 28045.8701514014974236 26593.3506806079094531
    2616.2248110027821895     -118.1472493357221651        0.0000000000000000        722         59         34         40         44          0          0        0.0000000000000000 25376.0113514291479078 26188.8538869665680977 26233.9013477874250384 25223.9959781271500106 25519.3404116552119376 26096.8698373568659008 22765.3219016152797849 23521.3301664157224877 23055.4479253832796530 23624.2783368694690580 22252.9948414664540906 25784.1964773999825411 25361.5649671987230249 23746.2448439156141831 23826.0132372274456429 26896.9052137691469397
   -2480.4975875541040296      836.3077839703501013        0.0000000000000000       2694         50         40         28         32          0          0        0.0000000000000000 27074.5076629212999251 28444.9244501868815860 28224.1722774574664072 26934.9296477793213853 26859.9531947387367836 27641.3342899522758671 26578.6778606124207727 26173.7332075200683903 27693.0542593062746164 25900.7534654545888770 26454.7871699345851084 25268.2849672807642492 26917.0645264781414880 25084.7735640350110771 27349.0452760348125594 28051.1217532339651370
   -1885.5858453542211919     1710.1856777092848461        0.0000000000000000       2482         67         38         46         49          0          0        0.0000000000000000 29202.5113950881641358 27535.2937194322948926 27845.3825816625248990 27545.6943019268983335 27003.2358542335568927 27238.3647784430941101 25125.9293629911044263 25518.7687481758257491 30199.5780798508785665 27153.6593234589527128 27306.4128750443414901 25845.6144895609140804 24621.4073753668562858 26389.7159755302018311 27181.9686533450003481 29178.2979398591342033
    1943.0501962914654541    -1760.4308244774560990        0.0000000000000000       2254         48         34         31         30          0          0        0.0000000000000000 25835.2483312772383215 27523.1557185753335943 25120.8993091874544916 26290.8156233410700224 27142.1509400043287314 24662.1430796328641009 23402.0597246105244267 23824.9459472243943310 23739.1318628487133537 24123.7342973344238999 27620.8469849699904444 26195.1595989551315142 25692.6333885587664554 27852.1171241931951954 25815.7508339532250830 25414.2062971906270832
   -2352.3938931536440577     1207.8800643100080379        0.0000000000000000       1348         38         20         26         30          0          0        0.0000000000000000 24894.8799508393422002 25992.3748953992399038 26333.3135327149211662 26694.3858857295344933 26287.9673315918735170 25873.7288164908568433 24118.1751804304221878 26002.3519647477296530 25569.7124773510877276 26544.2786857112441794 27035.6624429989133205 27415.5961445211214595 25116.8901098148089659 26817.0622629354875244 26611.6774661299496074 24128.5683278398464608
    2315.0918306442622452     1154.9202471690196035        0.0000000000000000        818         69         52         40         46          0          0        0.0000000000000000 23453.6492380847994355 24012.2174802465233370 24567.8294857776745630 25290.0513037665077718 23172.7382247580317198 25980.4768336722336244 23932.4302835136659269 23274.2426492124395736 26644.0115673271211563 27408.7878777511505177 23323.6219612474887981 22110.9593128297055955 26347.6158514150338306 24423.4269020476785954 25482.0806193438220362 23525.3028261342915357
     157.9616370171899860     2646.9146545906787651        0.0000000000000000        659         45         29         28         32          0          0        0.0000000000000000 28301.3302043555813725 29560.8309682688814064 28911.0316616831987631 28722.7495159961654281 27766.7569317354282248 26466.9839134202702553 28013.3497426824324066 27821.8713520600140328 27569.6811576802574564 28107.2492749237644603 25097.0111856261719367 26730.4851468312917859 29052.9363029913110950 27095.8621885941684013 27560.3037234601615637 28644.3427890437160386
    -738.6551398726244315    -2476.1237050153736163        0.0000000000000000        740         49         38         30         30          0          0        0.0000000000000000 27717.0482032438048918 28422.9123016066077980 27745.8631195700145327 26245.4265994288798538 26458.2734251754482102 26099.0833033223789243 27865.2855877264591982 26631.4689164842347964 27667.7994137930363650 24982.8201484773926495 24906.9151629166190105 24508.9379454846275621 26695.9857154832643573 26843.3301259847467009 27921.8590877191309119 27764.0988371579223895
   -2584.6761949849592384     -226.5473565927606217        0.0000000000000000        774         50         34         33         32          0          0        0.0000000000000000 25121.4998436799833144 25664.7308913956985634 26307.3249686827548430 25296.3833584922722366 26749.5595434719434706 25860.5609142448374769 24945.6401263412444678 24749.6650242766700103 23930.5884898858384986 25152.7114254110056208 22852.9813185641942255 27005.9336262506403727 27625.2696212280898180 24964.1746778067608830 25476.9779953677025333 25544.5333768499949656
    2614.3373441945332161       27.2652441130501586        0.0000000000000000       1658         53         38         30         38          0          0        0.0000000000000000 26516.8537844711026992 28511.3802486671193037 26613.9517530135890411 25765.1099451804693672 24765.9004906162190309 25565.6193157848611008 26626.3844163784924604 27458.1833289795577002 27098.8841520535170275 27040.8495095504549681 26030.9029194903960160 26657.5828215706351330 26115.3817166297631047 24946.3978425276254711 27107.9513411034713499 28751.7581004856838263
    -264.0138865446318732    -2651.2718029980474057        0.0000000000000000       2288         31         20         24         18          0          0        0.0000000000000000 27493.9340641167436843 28711.2674982605531113 26999.9189376624963188 28316.9801411277840089 28083.8399234449498181 28292.0220629881514469 28616.1219225063177873 26677.0671175765273802 27073.0388642441430420 25526.3324638805606810 28377.5513914806288085 25107.7288973907016043 28083.2032010437724239 27975.6302143782450003 28633.4701061283485615 27821.0831305306601280
