                   Energy                      Mag                                                   F  N clusters    N vorts        nvx        nvy        nvz  N strings  Max s str            <l string>                Correl
    -600.7961678825834042     -137.4790966755029444     -181.8678457162652649        0.0000000000000000          0         92         66         62         56          0          0        0.0000000000000000 1004.7777283684655458 1075.5332511738256471 895.6250415513995904 798.9949102655491515 1138.2669373659250596 857.2128135716779980 861.5758502203289027 555.2512048682806380
    -614.1469930558387205      212.3895766573851347      -82.4185068210960026        0.0000000000000000          0         87         52         66         51          0          0        0.0000000000000000 460.8664073353816661 781.2700895687110005 553.3009639416294476 512.1683560481117183 533.8531654855526085 545.1486272630936583 630.3843571815575615 695.3952310463791946
    -636.0490767316747451      256.2570091022828365       50.0104152483213937        0.0000000000000000          0         70         45         51         42          0          0        0.0000000000000000 679.5298566271735581 585.6228496697592618 692.9182239661776066 592.8314508318628668 711.7086031050530437 808.6309139335893406 870.7826231622115074 786.7761945483794079
    -616.5072319189249583      206.0175301412785700      104.9173981919166607        0.0000000000000000          0         94         68         62         57          0          0        0.0000000000000000 1206.8766396126502514 1177.5222675382217403 1159.9196803534559876 1005.8427379723070771 514.3113524498603510 306.9637928812749692 333.6330107625073538 646.7224309420822692
    -674.5476370011472227       -3.6166856987810938      266.7088238187871525        0.0000000000000000          0         75         53         46         50          0          0        0.0000000000000000 872.1338601183595074 859.0654392522789067 818.9153650797121600 937.1385271195665609 1051.4696905425580553 1030.6143244701340791 1009.8546954430595406 824.7300463188403228
    -626.7836626235190352       12.5603445871806940      223.3322323005492365        0.0000000000000000          0         98         68         60         68          0          0        0.0000000000000000 1093.1224991793303616 571.3648123895968638 285.1019080278491060 890.2779518911005425 1215.4753239299639063 897.3723654625989639 1044.9904533470776187 1194.4240407019340182
    -470.5280668868433622      137.9861256493980761      -67.8336182692069229        0.0000000000000000          0        137         81        103         88          0          0        0.0000000000000000 914.0105495071902624 319.3235593344057861 -30.5923435778130397 -70.3346520648456988 210.8197064168159898 297.2134440041967309 694.2608593522168121 372.2485747875837205
    -679.5900737562000131      123.7537670111583168     -244.4847269639518572        0.0000000000000000          0         73         48         54         44          0          0        0.0000000000000000 992.3108306323260877 818.8095350140728215 1217.4675198830195768 1126.1088848751778642 1380.8676704437798435 986.8594040978291559 959.9572376881678792 1066.9118562650396598
    -624.5870172615502725      215.8887264717921255     -137.5518899290464674        0.0000000000000000          0         82         56         57         50          0          0        0.0000000000000000 1524.5925437587736724 1280.9708052096293613 582.3543272674489799 784.5716913141785653 1088.4564830300635094 1473.3862740920080796 1497.4499392207208075 1503.3183635354098442
    -607.8684198235347367       51.5041192640966656      239.6221430590250350        0.0000000000000000          0         98         68         60         68          0          0        0.0000000000000000 466.9101473795712991 279.1933855503207838 398.4338394012698359 428.4251700958788547 418.2701094317766319 639.4368149633670555 732.8479125457644159 611.8692714368878569
    -691.3251705210485625      222.8145353690254638      159.3388477357942747        0.0000000000000000          0         69         35         46         49          0          0        0.0000000000000000 1407.9502837200018348 707.9432857100110823 856.7386040127744309 785.1255779607977274 1104.4839127945119799 880.5140236836318763 1462.8677597131209041 1217.9740039241064551
    -617.3474138338417561      232.4358199076614540       63.0942660146310388        0.0000000000000000          0         86         69         52         48          0          0        0.0000000000000000 721.0963239879690718 942.3344771429832463 750.6500647159700748 935.1952849514561876 881.5804891910564720 843.7741391725151061 533.7405219387703710 780.2567536505582666
    -666.2984482933210302      263.8386335963364786       81.0978131018534327        0.0000000000000000          0         70         46         50         43          0          0        0.0000000000000000 788.9056047871248438 992.0960381206054990 871.4622682845457575 801.4147048593608815 1025.2049500770287978 1127.7810514826371673 1217.7182783615617154 889.0344972017513783
    -665.1746910432412960      249.5915547742003469      126.2856026253518564        0.0000000000000000          0         79         54         52         50          0          0        0.0000000000000000 1827.7407262288159018 1068.4665517593621189 1147.9285404884794843 1289.7857034468861457 1250.1526837205044558 1485.3672214666667060 1861.4474780998937149 1881.2927269908796006
    -605.1024509704029697      241.6783176662764276       24.1838939384261131        0.0000000000000000          0         93         66         53         66          0          0        0.0000000000000000 995.7037660724570287 1071.8495794302036757 1363.9485183279575722 897.5830734419861301 476.3454195114612162 922.4400967714567514 974.7710782483004550 856.3101665497268868
    -600.4252189147199488      138.4188442483243762      158.6335422659351195        0.0000000000000000          0         90         59         55         61          0          0        0.0000000000000000 915.2791197505255241 803.2394390924289382 702.9057774088204269 507.1821978757468514 15.4907929116752570 795.1463885143623429 847.2314079046791448 726.6193749240210309
    -557.7569749341229226     -148.2353319618680132       64.4223661166213333        0.0000000000000000          0        103         70         63         71          0          0        0.0000000000000000 91.2417626450091177 150.1938849005817360 311.8553368524971461 276.7346591666139943 182.1416262301264339 227.8889208439081528 237.7369574903612488 59.5719850150490657
    -560.0134466260161616     -217.0262761753212430      -56.7713921651041815        0.0000000000000000          0        103         67         64         71          0          0        0.0000000000000000 573.8235678468897731 572.4311226111612996 390.6116884695813951 612.6590547402453240 882.2281443435313122 735.1496789497232385 980.4903666432502405 626.2428678830036688
    -563.0712915857990311     -116.4161798938217487      188.6659137619245712        0.0000000000000000          0        112         78         75         70          0          0        0.0000000000000000 489.4525311778290302 665.5086226957951112 709.7560373313367563 842.0247785772637599 695.5670837016149335 321.6173292227143179 639.2311537025818780 489.9585464077428014
    -596.0834905888398225      -28.7801709797336471      238.7754873886402152        0.0000000000000000          0         96         72         64         55          0          0        0.0000000000000000 1413.1475163311379220 921.2960618437984976 1289.1647645988527984 1455.5330763479582856 1483.0405714494488620 589.4268688034128445 809.8690091411003777 1005.4817412501006402
    -646.9042756222703474      122.3033808995174638      208.5715977672488748        0.0000000000000000          0         89         66         52         59          0          0        0.0000000000000000 667.0611939414170592 429.7854247597225594 139.7962653533853086 309.9554101421715586 883.1399805054608123 262.2411178459870484 135.5684646516872931 -28.8798075071226492
    -623.0186918686382569      -85.6040816246100036      233.8712470562209944        0.0000000000000000          0         93         64         59         62          0          0        0.0000000000000000 1094.8745846778604118 1340.1049479812552363 1269.1045580485706523 940.1852822686458921 557.1561758056474218 950.3771077715223328 810.1629314687145325 951.1884297213260879
